Recombination Event Number; Number In .RDP File; Begin; End;Begin; End;Begin; End; Recombinant Sequence(s); Minor Parental Sequence(s); Major Parental Sequence(s); RDP; GENECONV; Bootscan; Maxchi; Chimaera; SiSscan;PhylPro; LARD; 3Seq
365;699; 3502*; 5050*; 3502*; 5050*; 3499*; 5037*;MG212467_Russia_Poliovirus-3;MG212459_Russia_Poliovirus-2;Unknown (KU372652_Brazil_Poliovirus-2); 1.82692369023881E-59; 2.28954922558822E-65; 4.52828249404269E-58; 7.41986468206272E-26; 8.47691544103492E-26; 2.20864933365538E-116;NS;NS; 8.81758848542049E-64
366;701~;318;482;318;482;318;482;^MG212467_Russia_Poliovirus-3;AB705311_Japan_2011;MG880752_Mexico_Coxsackievirus-A24; 3.36944050192363E-03;NS;NS;NS;NS; 1.25750774319131E-43;NS;NS;NS
367;702; 5663*; 6305*; 5663*; 6305*; 5650*; 6288*;MG212465_Ukraine_Poliovirus-2;KJ170530_Nigeria_Poliovirus-1;KJ170575_Nigeria_Poliovirus-2; 4.12478000740232E-49; 4.2712190074856E-47; 1.22037337692587E-47; 7.42157526826441E-12; 4.58790570804282E-11; 1.82462724287575E-14;NS;NS; 4.28626503386914E-54
368;704; 5742*; 6305*; 5742*; 6305*; 5729*; 6288*;MG212480_Russia_Poliovirus-2;OQ286211_United-Kingdom_Poliovirus-1;KJ170575_Nigeria_Poliovirus-2; 1.12299739481963E-41; 1.23919419079739E-39;NS; 6.67062034908472E-09; 2.59139291206388E-08; 1.78057291515973E-10;NS;NS; 3.71856204393757E-38
369;710;4390;45;4379;45;4387;45;^MN914203_Malawi_Enterovirus-C;KT353719_Taiwan_Poliovirus-1;GQ865517_Nicaragua_Enterovirus-C109; 5.15726804528081E-06;NS; 1.08665158948961E-03; 1.47857813012558E-06; 2.32662954967068E-03; 4.75292828665016E-26;NS;NS;NS
370;712;3468;6247;3468;6247;3465;6234;PQ238717_USA_2018;PQ238650_USA_2022;MK105986_France_2018; 3.91963715283262E-39; 8.00676635133708E-24; 1.46968560640053E-24; 2.98367612975619E-28; 4.11681835099187E-26; 7.70526810536142E-19;NS;NS; 3.08042365091136E-86
371;715;1681;2740;1681;2740;1679;2737;ON502309_China_2016;ON502337_China_2017;ON502360_China_2016; 2.04572787555774E-16; 7.62447968094548E-07;NS; 1.04376516142424E-07; 2.13410437772488E-06;NS;NS;NS; 1.64597706712177E-05
372;716;109;3882;109;3882;109;3879;^MZ394039_China_2016;Unknown (KY888273_Germany_2013);MZ436966_Spain_2016; 4.33545408699919E-13; 7.72058146784416E-19;NS; 8.27131617036865E-19; 4.00011476918536E-12;NS;NS;NS;NS
373;717;42;3881;42;3881;42;3878;^KY888273_Germany_2013;MZ436966_Spain_2016;Unknown (MG451806_United-Kingdom_2016); 2.26462123559823E-12; 4.19218043873431E-20;NS; 2.75148691203995E-19; 6.21241544948226E-14;NS;NS;NS; 3.35166480192826E-02
374;731; 94*; 2363*; 94*; 2363*; 94*; 2360*;^JX275013_Nigeria_Poliovirus-2;MG212454_Russia_Poliovirus-2;Unknown (GU390707_USA_Poliovirus-2); 4.12941884646174E-26; 1.23181573547929E-28;NS; 2.9191113478708E-22; 6.71138361390349E-04; 1.69919815905284E-38;NS;NS; 8.24447060379023E-18
375;732; 3119*; 3315*; 3119*; 3315*; 3116*; 3312*;KX162694_Equatorial-Guinea_Enterovirus-C;KX162680_Cameroon_Poliovirus-1;JX275048_Nigeria_Poliovirus-2; 3.87259643287935E-10; 4.02018019540762E-06;NS; 2.99380330721341E-04;NS; 1.66595359369347E-03;NS;NS;NS
376;734~; 3371*; 3859*; 3371*; 3859*; 3368*; 3856*;LN854562_Netherlands_2011;MW183139_China_2007;PP025903_Spain_2010; 1.34017964407267E-04;NS; 2.75406046014043E-04; 7.98416529270037E-04; 3.17429412058391E-04;NS;NS;NS; 5.43343187213718E-04
377;735;4971; 6270*;4971; 6270*;4958; 6255*;KP266577_China_2009;MF678343_Australia_2010;MF574099_China_2010; 7.63582553328209E-05;NS;NS; 1.73686483860434E-11; 1.79859453402805E-05; 8.27639449973022E-27;NS;NS;NS
378;736;3877;5098;3877;5098;3874;5085;^OQ842429_USA_2017;KP289434_China_2013;JX843811_China_2009; 1.1220310217075E-05;NS; 1.41757033604821E-03; 3.53123835157232E-05; 5.24999640168976E-05; 5.4810538585696E-09;NS;NS; 3.07832796730967E-06
379;741;3376; 6270*;3376; 6270*;3373; 6255*;^MW183137_China_2007;MF678329_Australia_2006;Unknown (PP025903_Spain_2010); 6.97330108275377E-08;NS; 5.4715976858383E-07; 5.61517330958864E-15; 2.98879832055783E-11; 1.48961732009949E-29;NS;NS;NS
380;743;3380;76;3380;76;3377;76;PP621649_Thailand_2018;MF678304_Australia_2012;Unknown (PP025903_Spain_2010); 1.07925207907984E-07;NS; 8.66272480072321E-06; 5.08968504474099E-14; 3.68566879452937E-08; 1.12754792599613E-22;NS;NS; 2.56867464298871E-07
381;744;2962;3738;2956;3732;2959;3735;OQ842430_USA_2009;MK689070_Brazil_2014;MF678314_Australia_2015; 2.15034057734246E-07;NS; 1.78257424685099E-05; 3.26455441703858E-07; 1.13676650228823E-05;NS;NS;NS; 8.66140683281613E-04
382;745;5188;6299;5188;6299;5175;6282;^PP621674_Thailand_2019;ON873778_China_2013;PP887984_Hungary_2023; 2.7518685098873E-07;NS;NS; 2.4950970462111E-07; 6.23453185241567E-06; 8.43054216469495E-12;NS;NS;NS
383;746;3128; 3826*;3111; 3809*;3125; 3823*;^KU379646_China_2013;Unknown (OQ791570_USA_2016);ON873782_China_2013; 2.81948573464703E-07;NS; 7.99005213245474E-06; 1.43470084013593E-06; 2.69224896578072E-07;NS;NS;NS;NS
384;748;51; 967*;51; 967*;51; 967*;^PP621655_Thailand_2019;OQ791511_USA_2009;MF678328_Australia_2009; 4.55807546853217E-05;NS;NS; 4.45265349585219E-06; 2.44232786832286E-06; 1.02738855108152E-05;NS;NS; 4.07726186146817E-09
385;752~; 2781*; 3127*; 2771*; 3117*; 2778*; 3124*;^MN580136_China_1999;ON873779_China_2013;Unknown (KU379646_China_2013); 5.55624175512111E-04;NS;NS;NS; 3.34634110502412E-02; 1.33740222337045E-03;NS;NS; 3.93862720171612E-06
386;757;3448;5644;3442;5638;3445;5631;^KX610685_USA_2016;MF678328_Australia_2009;Unknown (PP025903_Spain_2010); 3.83738293248346E-03;NS; 5.69900730961005E-03; 5.88423742176243E-06; 3.60774667331486E-05; 1.50175393870409E-16;NS;NS;NS
387;761;3678; 4584*;3678; 4584*;3675; 4578*;^MN815812_China_2019;JX843811_China_2009;PP891443_China_2022; 6.22943296883177E-47; 2.77445256620534E-09; 8.7379881706363E-43; 8.24199042064734E-21; 1.32469133238532E-15; 1.86727113531913E-10;NS;NS; 2.10229914876356E-39
388;762~; 4980*; 5093*; 4973*; 5086*; 4967*; 5080*;^MN815810_China_2018;MN580136_China_1999;MN815812_China_2019; 1.24715891267908E-12; 3.45115589911638E-02; 2.02027985723695E-12; 1.54490873170271E-03;NS;NS;NS;NS; 2.49567132577777E-03
389;763~; 4957*; 5087*; 4950*; 5080*; 4944*; 5074*;^PP891438_China_2019;Unknown (MK652136_Venezuela_2018);MN815812_China_2019; 7.9287393162456E-09;NS; 4.16535333389641E-05;NS;NS; 2.76072416460667E-25;NS;NS;NS
390;764; 4658*; 5016*; 4658*; 5016*; 4646*; 5003*;MN815812_China_2019;OP441393_China_2018;Unknown (JX017381_China_2011); 3.28208555930277E-03; 5.34121303852331E-07;NS; 4.13079283267696E-06; 4.12084791542127E-07; 2.61802933349386E-26;NS;NS; 8.15452372293635E-09
391;765;3653;6302;3653;6302;3650;6285;^JX898905_China_2011;KX171336_China_2011;MZ394039_China_2016; 3.49251418165289E-09;NS; 4.65572628914274E-09; 1.09383504364281E-06; 1.19519408283705E-04; 1.30643645084117E-16;NS;NS;NS
392;766;6281; 1502*;6281; 1502*;6265; 1502*;^KX162680_Cameroon_Poliovirus-1;KX162682_Central-African;Unknown (KJ170454_Nigeria_Poliovirus-1); 8.47657439815729E-06; 2.54791683201049E-07;NS; 1.49831989851051E-06; 4.55785609762211E-04; 8.34861991860432E-13;NS;NS;NS
393;767~; 3228*;3590; 3228*;3590; 3225*;3587;MW192795_China_2019;MN815811_China_2018;PP621675_Thailand_2019; 7.40928006812098E-04; 7.06101024621431E-03;NS;NS;NS;NS;NS;NS;NS
394;768;6300; 2334*;6300; 2334*;6283; 2331*;^HM777023_South-Korea_2005;PP891443_China_2022;OQ842423_USA_2013; 2.47969961499035E-19; 1.10970504050869E-17;NS; 1.06275058244637E-18; 3.49838379619207E-08; 4.40208751245104E-42;NS;NS; 1.25249289639673E-13
395;769; 2814*;4175; 2814*;4175; 2811*;4172;^MG982664_India_2017;KX810066_USA_2013;PP621220_Thailand_2019; 1.98914769700423E-07;NS; 6.46391435300739E-07; 1.41068863676123E-05; 2.22643616578157E-06; 1.00471394559068E-09;NS;NS; 2.55643991942112E-06
396;770; 2395*; 2776*; 2378*; 2759*; 2392*; 2773*;^OK397297_China_2018;MG982664_India_2017;Unknown (PP756363_France_Coxsackievirus-A1); 2.11795874679001E-04;NS;NS;NS; 3.04570011440864E-03; 3.33597151702519E-09;NS;NS;NS
397;771;3858; 4094*;3858; 4094*;3855; 4091*;^JQ729993_China_2010;JX843811_China_2009;KT353725_Taiwan_2008; 7.42946344068262E-12;NS; 1.97044922953891E-12; 4.12696480796935E-04;NS;NS;NS;NS; 2.11648423444899E-05
398;772; 3484*; 3834*; 3484*; 3834*; 3481*; 3831*;^KT353725_Taiwan_2008;JX843811_China_2009;JX976771_China_2011; 2.11841202944204E-10;NS; 3.18037869115402E-07; 2.03240332376266E-08; 1.54366221876163E-03;NS;NS;NS; 4.75408061567497E-02
399;776;3450;4099;3450;4099;3447;4096;^PP621644_Thailand_2019;OQ791570_USA_2016;PP621691_Nepal_2023; 5.14354254238227E-07;NS; 3.67644426626498E-04; 1.87295907800352E-06; 4.71523114109513E-05;NS;NS;NS; 3.94026405467929E-04
400;777;2958; 3281*;2958; 3281*;2955; 3278*;^OQ791513_USA_2009;PP621632_Thailand_2019;MZ389230_Spain_2018; 4.02027249471664E-15;NS; 5.8249060585485E-12; 4.58910434430286E-03; 5.4277503429501E-04;NS;NS;NS; 1.22317855844045E-08
401;779~;2882;3218;2882;3218;2879;3215;^PP621624_Thailand_2019;HM031191_China_2008;MW365443_China_2019; 4.7625677615964E-04; 1.20984998941531E-03;NS; 3.38456955298329E-04; 4.13021554639131E-05; 9.01158992287861E-11;NS;NS; 9.37770183728759E-08
402;780; 2965*;4524; 2965*;4524; 2962*;4521;^PP621685_Thailand_2019;PP621680_Thailand_2019;PP621649_Thailand_2018; 3.90892479468136E-23; 2.08519383467916E-25;NS; 3.7857499042022E-14; 3.59421758748567E-15;NS;NS;NS; 5.19357460796069E-20
403;783;2182;5105;2168;5089;2180;5092;GU550508_China_1999;JX017381_China_2011;MK652137_USA_2018; 5.99340151744047E-04;NS; 2.69706841426068E-04; 4.29266811948434E-03; 2.74234083730471E-04; 7.17194294742936E-07;NS;NS;NS
404;784~;2840;3859;2837;3856;2837;3856;^MG451809_United-Kingdom_2017;Unknown (OQ842426_USA_2014);JX976771_China_2011; 9.4816750460597E-04;NS;NS; 6.31297880982915E-04;NS; 8.05983729592692E-03;NS;NS;NS
405;789;6299;967;6299;967;6282;967;MZ558781_China_2017;PP621655_Thailand_2019;PP621613_Thailand_2019; 2.02345353513059E-22; 3.24357044861626E-28;NS; 8.67968257302649E-18; 6.23152946810451E-14;NS;NS;NS; 1.51009609446358E-02
406;790;160;2334;160;2334;160;2331;^JX417724_Cameroon_2008;OQ842446_USA_2012;MZ394039_China_2016; 3.35901760761349E-19; 7.38475085159512E-13;NS; 4.76418828119194E-20; 8.18625109510786E-18;NS;NS;NS; 2.71052695005602E-05
407;791; 2818*; 3385*; 2818*; 3385*; 2815*; 3382*;^OQ842446_USA_2012;OQ842451_USA_2013;Unknown (MW183137_China_2007); 7.34711996088793E-17; 2.6560099217976E-04;NS; 3.39035337606857E-07; 2.9106588872339E-08; 1.19874339314392E-11;NS;NS; 3.31496702677667E-17
408;792; 3457*;4438; 3457*;4438; 3454*;4435;^OQ842446_USA_2012;KF878966_Australia_2011;Unknown (PP621681_Thailand_2019); 1.26123662463836E-09;NS; 6.59329672075827E-09; 1.64876906521248E-11; 1.57102896372204E-11; 3.77188195185298E-10;NS;NS; 2.27405175586633E-19
409;798~;2982;3859;2982;3859;2979;3856;^PP621627_Thailand_2019;PP621649_Thailand_2018;OQ842418_USA_2011; 7.6534448129397E-03;NS; 9.39722978609265E-06; 2.41985807431138E-04; 8.42764781464612E-03; 1.93332827147979E-04;NS;NS;NS
410;799;6292; 2796*;6292; 2796*;6275; 2793*;JX274995_Nigeria_Poliovirus-2;KJ170573_Nigeria_Poliovirus-2;OP137303_Israel_Poliovirus-3; 1.14133442542998E-29; 1.21254643009254E-29;NS; 1.69607201330922E-12; 3.98422296088204E-09; 3.34709173985803E-25;NS;NS; 1.40012192143546E-05
411;800;4864;5306;4864;5306;4851;5293;KX162690_Chad_Poliovirus-2;Unknown (JX274995_Nigeria_Poliovirus-2);KX162682_Central-African; 1.27585657642239E-05;NS; 2.14954685003245E-03; 1.8206595645433E-03; 1.8212211662998E-04; 1.9502505062196E-05;NS;NS; 4.07726186146817E-09
412;801;93; 2334*;93; 2334*;93; 2331*;JX275154_Nigeria_Poliovirus-2;KJ170573_Nigeria_Poliovirus-2;OP137303_Israel_Poliovirus-3; 4.03843679849332E-59; 1.51063341908533E-67;NS; 5.53212298454965E-34; 2.15324494508692E-21; 2.65489289599523E-56;NS;NS; 8.37466079584015E-06
413;802;2836;4413;2836;4413;2833;4410;^JX275154_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2;Unknown (JX275377_Nigeria_Poliovirus-2); 7.05572244911718E-18; 7.0549289467672E-17;NS; 3.43837764690919E-18; 1.98915915997933E-06; 2.26005735185374E-28;NS;NS; 4.07726186146817E-09
414;805~;4348;4986;4348;4986;4345;4973;^PP461528_Nepal_2023;PP621613_Thailand_2019;Unknown (PP461525_Nepal_2023); 3.29298210682466E-03;NS; 2.77723079737121E-02; 3.81784666585629E-02; 4.88351095668295E-03; 8.03476202588296E-04;NS;NS;NS
415;811;3422;4244;3422;4244;3419;4241;^PP621604_Nepal_2023;PP461541_Thailand_2023;Unknown (PP621220_Thailand_2019); 1.1119139658073E-04;NS; 3.35956786068277E-05; 2.85926403596821E-04; 3.19827490010638E-02;NS;NS;NS;NS
416;812;5430; 6305*;5430; 6305*;5417; 6288*;^PP621604_Nepal_2023;JX476166_India_2010;MH144604_India_2013; 2.37368659655018E-03;NS;NS; 1.02334938710382E-03; 5.84724303292646E-04;NS;NS;NS;NS
417;814;6151;4153;6142;4144;6138;4150;^MH144604_India_2013;Unknown (PP461532_Nepal_2023);PP621598_Nepal_2023; 1.39873890550134E-04;NS;NS; 6.00304864236121E-08; 3.73464340939111E-07; 1.87259146620559E-10;NS;NS;NS
418;815~;4202;4632;4200;4630;4199;4620;^PP621598_Nepal_2023;PP621220_Thailand_2019;PP461532_Nepal_2023; 2.76838763774016E-04;NS; 1.07645658279211E-02; 7.16517454065356E-05; 4.07677556006504E-05;NS;NS;NS; 2.03863072312238E-07
419;816;5444; 6199*;5444; 6199*;5431; 6186*;^PP621607_Nepal_2023;PP461532_Nepal_2023;PP621220_Thailand_2019; 5.24680724494142E-04;NS;NS;NS; 2.36920029276092E-03; 1.59967293721919E-04;NS;NS;NS
420;819; 2989*;4070; 2989*;4070; 2986*;4067;^KT353721_Taiwan_2008;OQ842439_USA_2010;JX976773_China_2010; 1.97045288043E-20; 4.10317694428509E-16; 6.81294879105052E-20; 1.65992572062079E-15; 1.34594931200567E-16; 3.62702018501991E-21;NS;NS; 3.96190781241497E-33
421;820; 21*; 2798*; 21*; 2798*; 21*; 2795*;^KT353721_Taiwan_2008;KP290111_China_2013;Unknown (KP289441_China_2013); 2.04220427031431E-16; 4.88822219416326E-10;NS; 1.26145185192732E-06; 4.92914388947403E-08;NS;NS;NS; 1.22923323447058E-15
422;821;6298;2992;6298;2992;6281;2989;^KP290111_China_2013;OL519579_China_2018;Unknown (PP461528_Nepal_2023); 1.46624320444257E-11; 1.65944557761755E-06;NS; 1.55314529037066E-08; 9.46072814756182E-08;NS;NS;NS; 1.27777016683707E-02
423;825; 3478*;3773; 3478*;3773; 3475*;3770;^KF042343_China_2012;KF874627_China_1997;JX976771_China_2011; 4.26411387939958E-05;NS; 1.55422768090331E-02; 5.88851244672327E-09; .010393535878305;NS;NS;NS; 3.78816885251768E-02
424;827;2839;4209;2839;4209;2836;4206;KF042343_China_2012;Unknown (PP621632_Thailand_2019);MG451809_United-Kingdom_2017; 7.75492660693861E-07;NS; 4.13898428037819E-03; 9.86823203170086E-04; 1.01191246662848E-04;NS;NS;NS; 3.06609621936182E-06
425;828;5206;6297;5206;6297;5193;6280;PP861090_Hungary_2023;PP621664_Thailand_2019;OR095794_China_2020; 4.01553073642048E-47;NS; 6.63009076785934E-13; 1.2410837605124E-28; 1.9797302484964E-19;NS;NS;NS; 7.69602743923371E-33
426;829; 5010*; 5186*; 5010*; 5186*; 4997*; 5173*;PP861090_Hungary_2023;Unknown (KX610685_USA_2016);OR095794_China_2020; 1.51185283043679E-08; 2.45538825190406E-03; 2.51273838054211E-06; 5.44738566380859E-03;NS;NS;NS;NS;NS
427;834;6288;3786;6288;3786;6271;3783;MK580458_USA_2017;OQ842416_USA_2010;PP621607_Nepal_2023; 5.38239856871445E-08; 4.04241797551034E-07;NS; 8.74961781746028E-03; 3.52669257287245E-04;NS;NS;NS; 9.75276281411919E-06
428;835;6246; 2787*;6246; 2787*;6233; 2784*;^JX569712_Chad_Poliovirus-2;JX275336_Nigeria_Poliovirus-2;KX162712_Nigeria_Poliovirus-2; 3.04073344513174E-06; 5.68097126943945E-04;NS; 1.23499480293999E-05; 1.60187548805884E-05; 1.25579738786672E-09;NS;NS;NS
429;836;5055;6291;5055;6291;5042;6274;^OQ842416_USA_2010;MH043137_Latvia_2014;OQ791537_USA_2010; 4.69853801467416E-04;NS; 8.52860215404079E-05; 4.76210657164682E-09; 3.80335630153913E-09; 1.42371810412562E-18;NS;NS; 2.18540996976824E-06
430;842;4525;6245;4525;6245;4522;6232;^OQ791553_USA_2014;MF678337_Australia_2005;KF878966_Australia_2011; 9.0544947484452E-09; 2.77095016348545E-10; 7.33497709659441E-06; 9.43486556980891E-09; 1.44415015303026E-08;NS;NS;NS; 9.78542799012772E-08
431;851; 2693*;3160; 2693*;3160; 2690*;3157;^MH144600_India_2013;OQ842454_USA_2013;Unknown (MH752986_USA_2004); 1.23460306732794E-04;NS;NS; 5.37393663374848E-04; 1.95238452592085E-02; 9.51139427767649E-05;NS;NS;NS
432;853; 3408*;4633; 3408*;4633; 3405*;4621;^JN695051_China_2010;OQ791511_USA_2009;JX843811_China_2009; 8.26277473153914E-09;NS; 2.23960668700155E-08; 3.10056333915744E-12; 7.32390824545022E-11; 1.32181955465411E-11;NS;NS; 2.24249377289709E-07
433;854;3530;4411;3525;4406;3527;4408;^KP289434_China_2013;OR039178_China_2019;Unknown (MN166092_USA_2015); 4.21134312560912E-03;NS;NS;NS; 5.31515635732359E-03; 2.33509275893983E-03;NS;NS;NS
434;856;4527; 6302*;4527; 6302*;4524; 6285*;^MH144607_India_2012;MN166092_USA_2015;PP621220_Thailand_2019; 1.32420996933026E-02;NS;NS; 9.36210363885951E-06; 9.10509551039071E-04; 6.30794060747628E-09;NS;NS; 2.25532637670212E-03
435;865;2601;3298;2595;3292;2598;3295;^JN596587_China_2010;MZ488281_China_2019;Unknown (KP289434_China_2013); 1.90610938068482E-08; 3.17388172077616E-10;NS; 5.76868412023825E-08; 5.23475620706239E-09;NS;NS;NS; 1.10901461136681E-06
436;866; 6258*;3047; 6251*;3040; 6245*;3044;^OR095792_China_2020;MZ488281_China_2019;Unknown (MW365443_China_2019); 2.42281695431856E-05;NS;NS; 2.08369799696382E-05; 2.14246466650953E-06; 1.61818950512179E-02;NS;NS; 7.44912967598488E-06
437;867;3269;4279;3269;4279;3266;4276;^MZ488280_China_2019;KP289434_China_2013;MK791150_China_2018; 2.01587967233648E-04;NS;NS; 2.24049532492597E-07; 1.47336864158441E-05; 3.25590679610303E-04;NS;NS; 3.83262541481244E-07
438;873;3059; 3375*;3059; 3375*;3056; 3372*;^KP289438_China_2013;Unknown (GU550508_China_1999);JX017382_China_2011; 2.31389175043775E-10;NS; 1.66223132401383E-08; 3.13709358871248E-08; 3.66087142654651E-02;NS;NS;NS; 1.43535155464147E-03
439;874;5390; 6291*;5384; 6285*;5377; 6274*;^JX476166_India_2010;OQ842450_USA_2013;MH144604_India_2013; 2.36870343835269E-03;NS;NS;NS;NS; 1.88910616722687E-54;NS;NS;NS
440;875~;3347; 4050*;3344; 4047*;3344; 4047*;^PP621220_Thailand_2019;OQ842450_USA_2013;Unknown (MW183139_China_2007); .024235381233677;NS;NS; 1.41475477368908E-07; 1.6998816958916E-05;NS;NS;NS; 4.24035143664625E-07
441;876;3165;4156;3165;4156;3162;4153;HQ738286_Madagascar_Enterovirus-C;JX275085_Nigeria_Poliovirus-2;HQ738302_Madagascar_Enterovirus-C; 3.07369795658644E-45; 7.11568998959097E-39; 9.51003420056385E-41; 2.73589691779088E-25; 3.12917176983119E-26; 1.2381675631405E-27;NS;NS; 5.64987313918941E-56
442;877~;6016;6284;6016;6284;6003;6267;HQ738286_Madagascar_Enterovirus-C;KJ170677_Nigeria_Poliovirus-3;OP410410_United-Kingdom_Poliovirus-2; 7.33106559169827E-07; 5.42275827575267E-06; 2.11194433406045E-06; 3.87002207960476E-03;NS; 3.44411183862401E-04;NS;NS;NS
443;879; 52*; 3315*; 52*; 3315*; 52*; 3312*;HQ738294_Madagascar_Enterovirus-C;MG212454_Russia_Poliovirus-2;OP137297_Israel_Poliovirus-3; 1.1123760371573E-38; 4.69429346077603E-39;NS; 7.93855641536699E-24; 6.90866446287042E-11; 3.24902875620753E-41;NS;NS; 1.0414805039345E-16
444;880; 6292*;3084; 6292*;3084; 6275*;3081;PQ059265_Nigeria_Poliovirus-2;MZ245455_USA_Poliovirus-2;KY941933_Nigeria_Poliovirus-3; 1.96833563865761E-28; 4.26982995920219E-34;NS; 5.2239826396149E-17; 6.31453217142353E-15; 2.67605491842612E-26;NS;NS; 1.50612918938808E-05
445;883;6292; 2334*;6292; 2334*;6275; 2331*;JX275089_Nigeria_Poliovirus-2;MN541115_Russia_Poliovirus-2;OP137303_Israel_Poliovirus-3; 4.53762425689727E-77; 6.82071215448648E-82;NS; 7.71049002956501E-37;NS; 1.64519226465521E-60;NS;NS;NS
446;884;3074;6291;3074;6291;3071;6274;^MF574099_China_2010;Unknown (PP621649_Thailand_2018);OQ791517_USA_2009; 2.57503451574484E-36; 4.77127705028972E-23; 9.74759960277208E-27; 4.39452217973332E-27; 1.59750871135759E-30; 4.05896434785702E-33;NS;NS; 2.35579623286302E-68
447;885;3118; 6276*;3118; 6275*;3115; 6261*;^JX017381_China_2011;Unknown (MW183139_China_2007);OQ791517_USA_2009; 9.1618966237226E-28; 1.30653428001417E-18; 4.28434996057072E-20; 1.65923988655576E-21; 1.08654138733819E-23; 1.93204647340267E-28;NS;NS; 2.88763390358826E-35
448;886;3390;6173;3390;6173;3387;6160;^OQ791515_USA_2009;PP621649_Thailand_2018;PP025903_Spain_2010; 5.63646689673736E-21; 2.25635671413649E-05; 1.17251684353723E-17; 2.09725245788577E-20; 3.04554300797034E-15; 4.5549499078142E-33;NS;NS;NS
449;887; 2904*;3248; 2904*;3248; 2901*;3245;OQ791517_USA_2009;KJ755189_China_1999;OP441386_China_2013; 4.53261859851273E-08;NS; 2.29154007665627E-03; 1.50926105899326E-03; 6.42547914070728E-04;NS;NS;NS; 6.93134492024683E-08
450;889;5330;6286;5330;6286;5317;6269;^FJ172447_Australia_2007;MN815811_China_2018;OQ791511_USA_2009; 4.42720877092181E-20;NS; 1.94647649317493E-17; 4.45055070095312E-19; 3.77461049484846E-12;NS;NS;NS;NS
451;890;4804; 5329*;4804; 5329*;4791; 5316*;^FJ172447_Australia_2007;KF990476_China_2012;OQ791511_USA_2009; 1.32907285360739E-09;NS; 2.44894529665661E-05; 8.87462058621692E-10; 4.22050746671736E-07;NS;NS;NS; 2.81491356710992E-10
452;893; 2781*;4956; 2781*;4956; 2778*;4943;^MN749140_USA_2015;JX017381_China_2011;OQ791558_USA_2015; 3.32176239367456E-22; 1.04401790692364E-20; 7.3489049161005E-03; 3.7151196786951E-14; 2.38041593031287E-12; 4.6877590955415E-24;NS;NS; 2.41372081674021E-15
453;894;6228;2802;6228;2802;6215;2799;^KX499536_China_2012;MW365443_China_2019;Unknown (PP621674_Thailand_2019); 6.60046126227515E-20; 6.54202085356225E-15;NS; 7.37983536234542E-08; 1.78907607631488E-06;NS;NS;NS; 3.0348162214977E-04
454;898;4352;6286;4352;6286;4349;6269;MZ161144_China_2019;OR039178_China_2019;MN590273_France_2019; 2.29885237806275E-28; 6.52760064113389E-26;NS; 8.25650660946081E-25; 2.27829887155436E-06;NS;NS;NS; 2.69565925483021E-59
455;899~;6290; 92*;6290; 92*;6273; 92*;OR253702_USA_Poliovirus-3;KJ170677_Nigeria_Poliovirus-3;KX162717_Nigeria_Poliovirus-2; 1.78702134224804E-17; 4.00004477357684E-17;NS;NS;NS;NS;NS;NS; 1.39849984059914E-06
456;907;4589;25;4589;25;4579;25;^OP672302_China_2014;JQ041368_Russia_2011;MH201086_China_2015; 1.21383162686309E-02;NS;NS; 4.59174609655779E-06; 1.00167253191724E-02; 2.06254102743845E-12;NS;NS;NS
457;909; 2650*;3042; 2650*;3042; 2647*;3039;JQ801739_China_2009;MF678344_Australia_2005;OQ842413_USA_2009; 8.97510567110515E-10; 9.62274571925104E-05;NS; 4.20777357020857E-04; 1.62010400413965E-03; 1.66345506322954E-08;NS;NS; 2.17967047154821E-04
458;911;6237;3257;6232;3252;6224;3254;KP289434_China_2013;MF678336_Australia_2005;PP621598_Nepal_2023; 3.71854059658141E-04;NS;NS; 2.15597491749008E-04; 4.73891073556805E-04; 6.47964419452502E-04;NS;NS; 4.5362586557518E-05
459;912;5372; 6048*;5370; 6046*;5359; 6035*;^MN481500_China_2013;KM388538_China_2012;MF678336_Australia_2005; 4.06719450937595E-02;NS;NS; 7.56347901902202E-03; 1.52623626801543E-03;NS;NS;NS; 8.92187410860279E-05
460;916;2735;3846;2735;3846;2732;3843;KR259358_India_Poliovirus-3;MK028134_China_Poliovirus-3;Unknown (PP506140_Tunisia_Poliovirus-1); 3.60669662052585E-32; 9.89741406107696E-39; 1.14781361297213E-23; 2.8446146104753E-23; 7.95938823459461E-20; 2.17622576575234E-36;NS;NS;NS
461;917;2735;3030;2735;3030;2732;3027;^KX774483_China_2005;HM031191_China_2008;KP266568_China_2009; 2.16610118456128E-10; 5.09076956007028E-09;NS; 1.44960923699698E-04; 3.64517497176699E-05; 3.03200763400158E-06;NS;NS; 4.09356253028292E-06
462;918;6299;3382;6299;3382;6282;3379;^OQ791551_USA_2013;MF678341_Australia_2008;PP621664_Thailand_2019; 3.43659451135162E-58; 9.13224103143483E-52; 9.69009802830651E-23; 4.44537618236048E-35; 2.06473515772391E-38;NS;NS;NS; 8.13878894163438E-121
463;921;5100;2334;5084;2320;5087;2331;^GU550508_China_1999;Unknown (OQ791532_USA_2010);MF574099_China_2010; 1.66892320620859E-03;NS;NS; 1.1979363481935E-05; 1.06629004250542E-07; 6.97015892443651E-09;NS;NS; 1.38626893630978E-07
